date,freq,freqCum
2017-02-01,1,1
2017-03-01,0,1
2017-04-01,0,1
2017-05-01,1,2
2017-06-01,1,3
2017-07-01,1,4
2017-08-01,16,20
2017-09-01,5,25
2017-10-01,2,27
2017-11-01,0,27
2017-12-01,1,28
2018-01-01,2,30
2018-02-01,2,32
2018-03-01,6,38
2018-04-01,1,39
2018-05-01,1,40
2018-06-01,0,40
2018-07-01,0,40
2018-08-01,0,40
2018-09-01,5,45
2018-10-01,1,46
2018-11-01,3,49
2018-12-01,3,52
2019-01-01,3,55
2019-02-01,2,57
2019-03-01,2,59
2019-04-01,1,60
2019-05-01,1,61
2019-06-01,2,63
2019-07-01,7,70
2019-08-01,1,71
2019-09-01,1,72
2019-10-01,7,79
2019-11-01,10,89
2019-12-01,13,102
2020-01-01,109,211
2020-02-01,1,212
2020-03-01,4,216
2020-04-01,8,224
2020-05-01,8,232
2020-06-01,1,233
2020-07-01,2,235
2020-08-01,2,237
2020-09-01,0,237
2020-10-01,1,238
2020-11-01,1,239
2020-12-01,0,239
2021-01-01,4,243
2021-02-01,2,245
2021-03-01,3,248
2021-04-01,6,254
2021-05-01,1,255
2021-06-01,7,262
2021-07-01,8,270
2021-08-01,0,270
2021-09-01,7,277
2021-10-01,4,281
2021-11-01,13,294
2021-12-01,5,299
2022-01-01,4,303
2022-02-01,4,307
2022-03-01,2,309
2022-04-01,4,313
2022-05-01,4,317
2022-06-01,6,323
2022-07-01,0,323
2022-08-01,0,323
2022-09-01,1,324
2022-10-01,0,324
2022-11-01,6,330
2022-12-01,5,335
2023-01-01,0,335
2023-02-01,14,349
2023-03-01,13,362
2023-04-01,8,370
2023-05-01,1,371
2023-06-01,3,374
2023-07-01,0,374
2023-08-01,10,384
2023-09-01,6,390
2023-10-01,0,390
2023-11-01,4,394
2023-12-01,7,401
