keyword,frequency
digital scholarship,135
KB Lab,126
Digital Humanities,125
Entangled Histories,118
Computational linguistics,117
Police Ordinances,115
Transkribus,113
HTR-transcriptions,104
Koninklijke Bibliotheek,41
Olaf Janssen,39
"KB, national library of the Netherlands",39
Public Libraries,27
digital preservation,20
Wikidata,20
web archiving,18
Wikipedia,17
GLAMwiki,17
Wikimedia Commons,16
webarchiving,16
digital humanities,14
Public libraries,12
web archive,10
history,9
Wikibase,9
Wikimedia,8
Openbare bibliotheken,8
library,7
OpenRefine,7
Netherlands Wikibase Knowlegde Group,6
Handwriting Text Recognition,6
web collection,6
born digital,6
webarchive,6
cultural heritage,6
Linked open data,6
OCR,6
KB Topstukken,5
newspapers,5
digital heritage,5
Delpher,5
bibliotheekcijfers,5
Public Libraries; Library Network,5
Wikibase.cloud,5
KB collection highlights,5
bibliotheken,5
data reconciliation,4
national identity,4
Onderzoek,4
early modern,4
KB Collection highlights,4
webarchief,4
Digital Scholarship,3
makerspaces,3
jpeg2000,3
makerplaatsen,3
Quality,3
press photos,3
image recognition,3
linked data,3
OAIS,3
Publiek domein,3
Hungary,3
webarchivering,3
Webinar,3
digitisation,3
habsburg,3
AI,3
internet history,3
crown,3
LEGO,3
web archaeology,3
openbare bibliotheken,3
Wikimedia infrastructure,3
Album amicorum,3
openbare bibliotheek,3
Jacob Heyblocq,3
Alba amicorum,3
hungary,3
Image reuse,2
web history,2
podcast,2
public library,2
LOD,2
Jacobus Heyblocq,2
dienstverlening,2
Dutch public libraries,2
Bibliotheekonderzoeksplatform,2
XS4ALL,2
Text analysis,2
CO2-emissies,2
Topstukken uit de KB,2
toegang tot wetenschap,2
open access,2
digitaal erfgoed,2
sustainability,2
duurzaamheid,2
metadata,2
CO2-impact,2
DBNL,2
Digital Preservation,2
"public libraries, makerspaces",2
convolutional neural network,2
best practices,2
artificial intelligence,2
HTR-transcription,2
NL-blogosfeer,2
covid-19,2
enrichment,2
corona,2
Habsburg,2
Optical Character Recognition,2
BOP,2
text and data mining,2
websites,2
distant reading,2
secure data environment,2
collections as data,2
certification,2
JP2,2
Digitale vaardigheden,2
medieval,2
Reconciliation,2
social media,2
memes,2
non-consumptive reading,2
KPIs,2
reuse,2
Data,1
imagology,1
"optical character recognition, digital humanities, ocr quality, digital heritage, newspapers",1
Libraries,1
Kunstmatige Intelligentie,1
Convolutional Neural Networks,1
Bibliotheek,1
crowdsourcing,1
machine learning,1
blogosfeer,1
semantic search,1
entity linking,1
"digital heritage, collections, Delpher, website, text analyses",1
named entities,1
national bibliography,1
Books,1
Brinkman,1
identity,1
optical character recognition,1
historical printed collections,1
blackletter,1
openbare_bibliotheken,1
"AI, library, kunstmatige intelligentie, prncipes",1
Multimedia Document Processing,1
Applications,1
"Artificial Intelligence, libraries, principles",1
"Systems,",1
archaeology,1
Corpus,1
Tools,1
ICT with industry,1
laaggeletterdheid,1
Preservation Policy,1
NCDD,1
Portable Document Format,1
digitized collections,1
digital heritage collections,1
transition to open access,1
society journals,1
open access publishing,1
persistent digital identifier,1
reformation,1
optical media,1
schadeatlas,1
conservering,1
restauratie,1
Library,1
papier,1
digitaal,1
regalia,1
"libraries, artificial intelligence",1
PDF,1
visievorming,1
digitaal_burgerschap,1
data,1
Deep Learning,1
datasamenleving,1
reizen,1
innovatie,1
kunstenaars,1
researcher in residence,1
photographs,1
dataset,1
computer vision,1
Dutch,1
Text quality,1
epub,1
web archiving webarchiving corona covid-19,1
digitale duurzaamheid,1
Internet Archive,1
public libraries,1
"Machine learning, linked data, Wikidata",1
"Digital Humanities, libraries",1
LSTM,1
Open Archival Information system,1
"Computer Vision, Distant viewing, Digitized newspapers",1
"Digital Humanities, Library,",1
Network Cultural Heritage,1
link ranking,1
"metadata, artificial intelligence, library, GLAM, kunstmatige intelligentie, AI, machine learning",1
friesland,1
Digital Heritage,1
Linked Data,1
history of reading,1
reading revolutions,1
data science,1
Metadata,1
Twitter,1
Machine learning,1
Voor- en vroegschoolse educatie,1
BoekStart,1
Belastingdienst,1
KB Researcher-in-residence,1
accommodatie,1
bibliotheek van de toekomst,1
ontmoetingsplekken,1
multifunctioneel,1
basisvaardigheden,1
kleine kernen,1
21th century skills,1
digivaardig,1
taalvaardig,1
Friesland,1
crowns,1
"artificial intelligence, library, GLAM, kunstmatige intelligentie, AI,",1
kennisdeling,1
hackathon,1
workshop,1
KB National Library of the Netherlands,1
Planets,1
preservation planning,1
preservation watch,1
skill-building,1
researcher-in-residence,1
academic library,1
digibeten,1
digital dark age,1
Computer Vision,1
Visual Datasets,1
Patterns,1
ethics,1
kb lab,1
periodicals,1
netherlands,1
Political thought,1
coronation,1
early modern period,1
Emperor Matthias,1
neural networks,1
deep learning,1
tapes,1
digital forensics,1
machine reading,1
collection policy,1
Ghent University Facultyday,1
jpylyzer,1
open preservation foundation,1
Curation,1
trefwoorden,1
xs4all,1
web archiving history,1
Structured data on Commons,1
Frederik de Wit,1
Atlas de Wit,1
E-data & Research,1
Publiek Domeindag,1
Open data,1
internet culture,1
meme,1
webcollectie,1
Publiek domeindag,1
libraries,1
treasure hunting,1
treasures,1
book history,1
books,1
warcnet,1
twitter challenge,1
data access,1
datasets,1
SDoC,1
"ocr quality, digitized texts, digital libraries, quality assessment",1
hergebruik,1
LIBER,1
uptake,1
link sustainability,1
key figures,1
indicators,1
101,1
introduction,1
KB,1
reconciliation,1
Wikification,1
statistieken,1
Netwerk Digitaal Erfgoed,1
NDE,1
Album amicorum Jacob Heyblocq,1
OCLC,1
Nationaal Bibliotheekcongres,1
Het Nationale Bibliotheekcongres,1
Digitale Bibliotheek der Nederlandse Letteren,1
Algemeen Letterkundig Lexicon,1
sensitive data,1
research infrastructure,1
Wikidata_community,1
linked open data,1
tekstkwaliteit,1
P180,1
structured data on Commons,1
data.bibliotheken.nl,1
DBNLa,1
NTA,1
P723,1
P1006,1
medieval manuscripts,1
erfgoed,1
Openbare Bibliotheken,1
Digital Skills,1
Digitale inclusie,1
Digital Inclusion,1
Jongeren,1
Young People,1
Lezen,1
Reading,1
ocr,1
digitale collecties,1
book club,1
Fake news,1
Digital Library,1
Data Registry,1
Corpus Building,1
Collections as Data,1
Wikibase community,1
Onderwijs,1
Education,1
Nepnieuws,1
Desinformatie,1
wikibase,1
Disinformation,1
"Sustainable development goals, Libraries",1
Large Language Models,1
ChatGPT,1
Writing,1
wikimedia,1
reconcilation,1
open refine,1
web collectie,1
linkanalyse,1
archives,1
Drukgeschiedenis,1
deepfake,1
web incunable,1
website,1
webcurator tool,1
Gerrit Krol,1
Uitgeverij,1
Digitalisering,1
Drukken,1
Ebooks,1
The Netherlands,1
Systematische catalogus,1
Nationale bibliotheek,1
bibliotheek,1
classificatie,1
thesauri,1
catalogisering,1
Kolonialisme,1
De stille kracht,1
web archives,1
coronavirus,1
Nederlands-Indië,1
digital libraries,1
chinese diaspora,1
china,1
Chinese culture,1
demonstration website,1
pandemics,1
exploration,1
historical newsarchive,1
user interface,1
digital cultural heritage,1
"innovatie, libraries, future, makerspace, students, design, onderzoek",1
"taal, tekst, digitale_literatuur, AR, innovatie, bibliotheken, publicaties, collectie, digitaal",1
overzichtsartikel open science,1
open science,1
open wetenschap,1
Working Papers,1
Open Science,1
Open Access,1
Preprints,1
roman,1
Batik,1
religion,1
