date,freq,freqCum
1999-12-01,1,1
2000-01-01,0,1
2000-02-01,0,1
2000-03-01,0,1
2000-04-01,0,1
2000-05-01,0,1
2000-06-01,0,1
2000-07-01,0,1
2000-08-01,0,1
2000-09-01,0,1
2000-10-01,0,1
2000-11-01,0,1
2000-12-01,0,1
2001-01-01,0,1
2001-02-01,0,1
2001-03-01,0,1
2001-04-01,0,1
2001-05-01,0,1
2001-06-01,0,1
2001-07-01,0,1
2001-08-01,0,1
2001-09-01,0,1
2001-10-01,0,1
2001-11-01,0,1
2001-12-01,0,1
2002-01-01,0,1
2002-02-01,0,1
2002-03-01,0,1
2002-04-01,0,1
2002-05-01,0,1
2002-06-01,0,1
2002-07-01,0,1
2002-08-01,0,1
2002-09-01,0,1
2002-10-01,0,1
2002-11-01,0,1
2002-12-01,0,1
2003-01-01,0,1
2003-02-01,0,1
2003-03-01,0,1
2003-04-01,0,1
2003-05-01,0,1
2003-06-01,0,1
2003-07-01,0,1
2003-08-01,0,1
2003-09-01,0,1
2003-10-01,0,1
2003-11-01,0,1
2003-12-01,0,1
2004-01-01,0,1
2004-02-01,0,1
2004-03-01,0,1
2004-04-01,0,1
2004-05-01,0,1
2004-06-01,0,1
2004-07-01,0,1
2004-08-01,0,1
2004-09-01,0,1
2004-10-01,0,1
2004-11-01,0,1
2004-12-01,0,1
2005-01-01,0,1
2005-02-01,0,1
2005-03-01,0,1
2005-04-01,0,1
2005-05-01,0,1
2005-06-01,0,1
2005-07-01,0,1
2005-08-01,0,1
2005-09-01,0,1
2005-10-01,0,1
2005-11-01,0,1
2005-12-01,0,1
2006-01-01,0,1
2006-02-01,0,1
2006-03-01,0,1
2006-04-01,0,1
2006-05-01,0,1
2006-06-01,0,1
2006-07-01,0,1
2006-08-01,0,1
2006-09-01,0,1
2006-10-01,0,1
2006-11-01,0,1
2006-12-01,0,1
2007-01-01,0,1
2007-02-01,0,1
2007-03-01,0,1
2007-04-01,0,1
2007-05-01,0,1
2007-06-01,1,2
2007-07-01,1,3
2007-08-01,0,3
2007-09-01,0,3
2007-10-01,0,3
2007-11-01,0,3
2007-12-01,0,3
2008-01-01,0,3
2008-02-01,0,3
2008-03-01,0,3
2008-04-01,0,3
2008-05-01,0,3
2008-06-01,0,3
2008-07-01,0,3
2008-08-01,0,3
2008-09-01,0,3
2008-10-01,0,3
2008-11-01,0,3
2008-12-01,0,3
2009-01-01,0,3
2009-02-01,0,3
2009-03-01,0,3
2009-04-01,0,3
2009-05-01,0,3
2009-06-01,0,3
2009-07-01,0,3
2009-08-01,0,3
2009-09-01,0,3
2009-10-01,2,5
2009-11-01,0,5
2009-12-01,0,5
2010-01-01,0,5
2010-02-01,0,5
2010-03-01,0,5
2010-04-01,0,5
2010-05-01,1,6
2010-06-01,1,7
2010-07-01,0,7
2010-08-01,0,7
2010-09-01,0,7
2010-10-01,0,7
2010-11-01,0,7
2010-12-01,0,7
2011-01-01,1,8
2011-02-01,0,8
2011-03-01,0,8
2011-04-01,0,8
2011-05-01,0,8
2011-06-01,0,8
2011-07-01,0,8
2011-08-01,0,8
2011-09-01,2,10
2011-10-01,0,10
2011-11-01,0,10
2011-12-01,0,10
2012-01-01,1,11
2012-02-01,0,11
2012-03-01,0,11
2012-04-01,0,11
2012-05-01,0,11
2012-06-01,0,11
2012-07-01,1,12
2012-08-01,0,12
2012-09-01,0,12
2012-10-01,0,12
2012-11-01,0,12
2012-12-01,2,14
2013-01-01,0,14
2013-02-01,0,14
2013-03-01,0,14
2013-04-01,0,14
2013-05-01,0,14
2013-06-01,0,14
2013-07-01,1,15
2013-08-01,0,15
2013-09-01,0,15
2013-10-01,0,15
2013-11-01,0,15
2013-12-01,0,15
2014-01-01,0,15
2014-02-01,0,15
2014-03-01,0,15
2014-04-01,1,16
2014-05-01,0,16
2014-06-01,1,17
2014-07-01,1,18
2014-08-01,1,19
2014-09-01,0,19
2014-10-01,0,19
2014-11-01,0,19
2014-12-01,0,19
2015-01-01,0,19
2015-02-01,0,19
2015-03-01,0,19
2015-04-01,0,19
2015-05-01,0,19
2015-06-01,1,20
2015-07-01,1,21
2015-08-01,0,21
2015-09-01,0,21
2015-10-01,0,21
2015-11-01,0,21
2015-12-01,1,22
2016-01-01,0,22
2016-02-01,1,23
2016-03-01,1,24
2016-04-01,0,24
2016-05-01,1,25
2016-06-01,0,25
2016-07-01,2,27
2016-08-01,0,27
2016-09-01,0,27
2016-10-01,0,27
2016-11-01,3,30
2016-12-01,1,31
2017-01-01,1,32
2017-02-01,1,33
2017-03-01,0,33
2017-04-01,0,33
2017-05-01,2,35
2017-06-01,0,35
2017-07-01,1,36
2017-08-01,5,41
2017-09-01,3,44
2017-10-01,2,46
2017-11-01,2,48
2017-12-01,1,49
2018-01-01,3,52
2018-02-01,2,54
2018-03-01,3,57
2018-04-01,0,57
2018-05-01,2,59
2018-06-01,1,60
2018-07-01,2,62
2018-08-01,3,65
2018-09-01,1,66
2018-10-01,3,69
2018-11-01,8,77
2018-12-01,4,81
2019-01-01,2,83
2019-02-01,1,84
2019-03-01,3,87
2019-04-01,2,89
2019-05-01,1,90
2019-06-01,4,94
2019-07-01,5,99
2019-08-01,3,102
2019-09-01,4,106
2019-10-01,7,113
2019-11-01,2,115
2019-12-01,5,120
2020-01-01,111,231
2020-02-01,5,236
2020-03-01,4,240
2020-04-01,3,243
2020-05-01,6,249
2020-06-01,1,250
2020-07-01,1,251
2020-08-01,0,251
2020-09-01,2,253
2020-10-01,2,255
2020-11-01,1,256
2020-12-01,3,259
2021-01-01,3,262
2021-02-01,2,264
2021-03-01,7,271
2021-04-01,2,273
2021-05-01,1,274
2021-06-01,6,280
2021-07-01,5,285
2021-08-01,0,285
2021-09-01,3,288
2021-10-01,2,290
2021-11-01,6,296
2021-12-01,4,300
2022-01-01,3,303
2022-02-01,1,304
2022-03-01,4,308
2022-04-01,2,310
2022-05-01,4,314
2022-06-01,3,317
2022-07-01,0,317
2022-08-01,0,317
2022-09-01,1,318
2022-10-01,1,319
2022-11-01,3,322
